Operator,URL,Operator(URL),RxClojure,RxCpp,RxGroovy,RxJava 1․x,RxJava 2․x,RxJS,RxKotlin,RxNET,RxPHP,RxPY,Rxrb,RxScala,RxSwift
multicastWithSelector,http://reactivex.io/documentation/operators/publish.html,Publish,,multicast; publish,publish,publish,publish,let; letBind; multicast; publish; publishLast; publishValue,publish,Multicast; Publish; PublishLast,multicast; multicastWithSelector; publish; publishLast; publishValue,let; let_bind; multicast; publish; publishValue,,multicast; publish; publishLast,multicast; publish
nest,http://reactivex.io/documentation/operators/to.html,To,BlockingObservable.blocking; interpose; BlockingObservable.into; BlockingObservable.seq; sort; sort-by; sorted-list-by,as_blocking,BlockingObservable.from; BlockingObservable.getIterator; nest; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,BlockingObservable.from; BlockingObservable.getIterator; nest; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,blockingIterable; blockingLatest; blockingMostRecent; blockingNext; sorted; to; toFuture; toList; toMap; toMultimap; toSortedList,toArray; toMap; toSet,BlockingObservable.from; BlockingObservable.getIterator; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,GetEnumerator; ToArray; ToDictionary; ToEnumerable; ToEvent; ToEventPattern; ToList; ToLookup; ToTask,toArray,BlockingObservable.to_iterable; to_array; to_blocking; to_dict; to_future; to_iterable; to_list; to_marbles; to_set,to_a; to_h,nest; to; toArray; toBlocking; toBuffer; BlockingObservable.toFuture; toIndexedSeq; BlockingObservable.toIterable; toIterable; toIterator; BlockingObservable.toList; toList; toMap; toMultiMap; toSet; toStream; toTraversable; toVector,toArray
Never,http://reactivex.io/documentation/operators/empty-never-throw.html,Empty/Never/Throw,empty; never; throw,empty; never; throw,empty; never; error,empty; never; error,empty; never; error,empty; never; throw,empty; never; error; asObservable,Empty; Never; Throw,empty; never; error,empty; never; throw; throw_exception,empty; never; raise_error,empty; never; error,empty; never; failWith
Next,http://reactivex.io/documentation/operators/takelast.html,TakeLast,next,,takeLast; takeLastBuffer,takeLast; takeLastBuffer,takeLast,takeLast; takeLastBuffer; takeLastBufferWithTime; takeLastWithTime,takeLast; takeLastBuffer,TakeLast,takeLast,take_last; take_last_buffer; take_last_with_time,take_last; take_last_buffer,tail; takeRight,takeLast
Next,http://reactivex.io/documentation/operators/first.html,First,first; single,first,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,blockingFirst; blockingSingle; first; firstElement; single; singleElement; takeFirst,find; findIndex; first; single,first; firstOrDefault; mostRecent; single; singleOrDefault; takeFirst,First; FirstOrDefault; Latest; Next; Single; SingleOrDefault,,first; first_or_default; single; single_or_default,first; first_or_default; single; single_or_default,first; firstOrElse; head; headOption; headOrElse; latest; next; single; singleOption; singleOrElse,single
none,http://reactivex.io/documentation/operators/contains.html,Contains,some,,contains; exists; isEmpty,contains; exists; isEmpty,any; contains; isEmpty,contains; findIndex; indexOf; isEmpty,contains; exists,Any; Contains,isEmpty,contains; find; find_index; is_empty; some,any?; contains?; none?,contains; exists; isEmpty,
nonEmpty,http://reactivex.io/documentation/operators/contains.html,Contains,some,,contains; exists; isEmpty,contains; exists; isEmpty,any; contains; isEmpty,contains; findIndex; indexOf; isEmpty,contains; exists,Any; Contains,isEmpty,contains; find; find_index; is_empty; some,any?; contains?; none?,contains; exists; isEmpty,
nth,http://reactivex.io/documentation/operators/elementat.html,ElementAt,nth,,elementAt; elementAtOrDefault,elementAt; elementAtOrDefault,elementAt,elementAt,elementAt; elementAtOrDefault,ElementAt; ElementAtOrDefault,,element_at; element_at_or_default,element_at; element_at_or_default,elementAt; elementAtOrDefault,elementAt
ObserveOn,http://reactivex.io/documentation/operators/observeon.html,ObserveOn,,observe_on,observeOn,observeOn,observeOn,observeOn,observeOn,ObserveOn; ObserveOnDispatcher,,observe_on,observe_on,observeOn,observeOn
ObserveOnDispatcher,http://reactivex.io/documentation/operators/observeon.html,ObserveOn,,observe_on,observeOn,observeOn,observeOn,observeOn,observeOn,ObserveOn; ObserveOnDispatcher,,observe_on,observe_on,observeOn,observeOn
observeSingleOn,http://reactivex.io/documentation/operators/observeon.html,ObserveOn,,observe_on,observeOn,observeOn,observeOn,observeOn,observeOn,ObserveOn; ObserveOnDispatcher,,observe_on,observe_on,observeOn,observeOn
of,http://reactivex.io/documentation/operators/from.html,From,seq,from,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,fromArray; fromCallable; fromFuture; fromIterable; fromPublisher,from; fromCallback; fromEvent; fromEventPattern; fromNodeCallback; fromPromise; of; ofArrayChanges; ofObjectChanges; ofWithScheduler; pairs,asObservable; from,AsObservable; FromAsyncPattern; FromEvent; FromEventPattern; ToObservable,fromArray; fromIterator; asObservable; fromPromise,from_array; from_callback; from_future; from_iterable; from_list; from_marbles; of,of_array; of_enumerable; of_enumerator,from; items,from; toObservable
of_array,http://reactivex.io/documentation/operators/from.html,From,seq,from,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,fromArray; fromCallable; fromFuture; fromIterable; fromPublisher,from; fromCallback; fromEvent; fromEventPattern; fromNodeCallback; fromPromise; of; ofArrayChanges; ofObjectChanges; ofWithScheduler; pairs,asObservable; from,AsObservable; FromAsyncPattern; FromEvent; FromEventPattern; ToObservable,fromArray; fromIterator; asObservable; fromPromise,from_array; from_callback; from_future; from_iterable; from_list; from_marbles; of,of_array; of_enumerable; of_enumerator,from; items,from; toObservable
ofArrayChanges,http://reactivex.io/documentation/operators/from.html,From,seq,from,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,fromArray; fromCallable; fromFuture; fromIterable; fromPublisher,from; fromCallback; fromEvent; fromEventPattern; fromNodeCallback; fromPromise; of; ofArrayChanges; ofObjectChanges; ofWithScheduler; pairs,asObservable; from,AsObservable; FromAsyncPattern; FromEvent; FromEventPattern; ToObservable,fromArray; fromIterator; asObservable; fromPromise,from_array; from_callback; from_future; from_iterable; from_list; from_marbles; of,of_array; of_enumerable; of_enumerator,from; items,from; toObservable
of_enumerable,http://reactivex.io/documentation/operators/from.html,From,seq,from,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,fromArray; fromCallable; fromFuture; fromIterable; fromPublisher,from; fromCallback; fromEvent; fromEventPattern; fromNodeCallback; fromPromise; of; ofArrayChanges; ofObjectChanges; ofWithScheduler; pairs,asObservable; from,AsObservable; FromAsyncPattern; FromEvent; FromEventPattern; ToObservable,fromArray; fromIterator; asObservable; fromPromise,from_array; from_callback; from_future; from_iterable; from_list; from_marbles; of,of_array; of_enumerable; of_enumerator,from; items,from; toObservable
of_enumerator,http://reactivex.io/documentation/operators/from.html,From,seq,from,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,fromArray; fromCallable; fromFuture; fromIterable; fromPublisher,from; fromCallback; fromEvent; fromEventPattern; fromNodeCallback; fromPromise; of; ofArrayChanges; ofObjectChanges; ofWithScheduler; pairs,asObservable; from,AsObservable; FromAsyncPattern; FromEvent; FromEventPattern; ToObservable,fromArray; fromIterator; asObservable; fromPromise,from_array; from_callback; from_future; from_iterable; from_list; from_marbles; of,of_array; of_enumerable; of_enumerator,from; items,from; toObservable
ofObjectChanges,http://reactivex.io/documentation/operators/from.html,From,seq,from,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,fromArray; fromCallable; fromFuture; fromIterable; fromPublisher,from; fromCallback; fromEvent; fromEventPattern; fromNodeCallback; fromPromise; of; ofArrayChanges; ofObjectChanges; ofWithScheduler; pairs,asObservable; from,AsObservable; FromAsyncPattern; FromEvent; FromEventPattern; ToObservable,fromArray; fromIterator; asObservable; fromPromise,from_array; from_callback; from_future; from_iterable; from_list; from_marbles; of,of_array; of_enumerable; of_enumerator,from; items,from; toObservable
OfType,http://reactivex.io/documentation/operators/filter.html,Filter,filter,filter,filter; ofType,filter; ofType,filter; ofType,filter; where,filter; ofType,OfType; Where,filter; where,filter; slice; where,select; select_with_index,collect; filter; filterNot; BlockingObservable.withFilter; withFilter,filter
ofWithScheduler,http://reactivex.io/documentation/operators/from.html,From,seq,from,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,fromArray; fromCallable; fromFuture; fromIterable; fromPublisher,from; fromCallback; fromEvent; fromEventPattern; fromNodeCallback; fromPromise; of; ofArrayChanges; ofObjectChanges; ofWithScheduler; pairs,asObservable; from,AsObservable; FromAsyncPattern; FromEvent; FromEventPattern; ToObservable,fromArray; fromIterator; asObservable; fromPromise,from_array; from_callback; from_future; from_iterable; from_list; from_marbles; of,of_array; of_enumerable; of_enumerator,from; items,from; toObservable
onBackpressureBlock,http://reactivex.io/documentation/operators/backpressure.html,,,,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,Flowable,controlled; pausable; pausableBuffered; stopAndWait; windowed,,,,,,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,
onBackpressureBuffer,http://reactivex.io/documentation/operators/backpressure.html,,,,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,Flowable,controlled; pausable; pausableBuffered; stopAndWait; windowed,,,,,,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,
onBackpressureDrop,http://reactivex.io/documentation/operators/backpressure.html,,,,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,Flowable,controlled; pausable; pausableBuffered; stopAndWait; windowed,,,,,,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,
OnErrorResumeNext,http://reactivex.io/documentation/operators/catch.html,Catch,catch*,,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,onErrorResumeNext; onErrorReturn; onErrorReturnItem; onExceptionResumeNext,catch; onErrorResumeNext,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,Catch; OnErrorResumeNext,catch,catch_exception; on_error_resume_next,on_error_resume_next; rescue_error,onErrorFlatMap; onErrorResumeNext; onErrorReturn; onExceptionResumeNext,catchError; catchErrorJustReturn
onErrorReturn,http://reactivex.io/documentation/operators/catch.html,Catch,catch*,,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,onErrorResumeNext; onErrorReturn; onErrorReturnItem; onExceptionResumeNext,catch; onErrorResumeNext,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,Catch; OnErrorResumeNext,catch,catch_exception; on_error_resume_next,on_error_resume_next; rescue_error,onErrorFlatMap; onErrorResumeNext; onErrorReturn; onExceptionResumeNext,catchError; catchErrorJustReturn
onErrorReturnItem,http://reactivex.io/documentation/operators/catch.html,Catch,catch*,,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,onErrorResumeNext; onErrorReturn; onErrorReturnItem; onExceptionResumeNext,catch; onErrorResumeNext,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,Catch; OnErrorResumeNext,catch,catch_exception; on_error_resume_next,on_error_resume_next; rescue_error,onErrorFlatMap; onErrorResumeNext; onErrorReturn; onExceptionResumeNext,catchError; catchErrorJustReturn
onExceptionResumeNext,http://reactivex.io/documentation/operators/catch.html,Catch,catch*,,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,onErrorResumeNext; onErrorReturn; onErrorReturnItem; onExceptionResumeNext,catch; onErrorResumeNext,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,Catch; OnErrorResumeNext,catch,catch_exception; on_error_resume_next,on_error_resume_next; rescue_error,onErrorFlatMap; onErrorResumeNext; onErrorReturn; onExceptionResumeNext,catchError; catchErrorJustReturn
onTerminateDetach,http://reactivex.io/documentation/operators/do.html,Do,do; finally,finally,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo; doAfterTerminate,doAfterTerminate; doOnComplete; doOnDispose; doOnEach; doOnError; doOnLifecycle; doOnNext; doOnSubscribe; doOnTerminate; onTerminateDetach,do; doOnCompleted; doOnError; doOnNext; finally; tap; tapOnCompleted; tapOnError; tapOnNext,doOnCompleted; doOnEach; doOnError; doOnNext; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,Do; Finally,do; doOnError; doOnCompleted; finally,do_action; finally_action; tap,ensures; tap,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,doOn
orElse,http://reactivex.io/documentation/operators/defaultifempty.html,DefaultIfEmpty,,,defaultIfEmpty; switchIfEmpty,defaultIfEmpty; switchIfEmpty,defaultIfEmpty; switchIfEmpty,defaultIfEmpty,defaultIfEmpty,DefaultIfEmpty,defaultIfEmpty,default_if_empty,default_if_empty,orElse; switchIfEmpty,
pairs,http://reactivex.io/documentation/operators/from.html,From,seq,from,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,fromArray; fromCallable; fromFuture; fromIterable; fromPublisher,from; fromCallback; fromEvent; fromEventPattern; fromNodeCallback; fromPromise; of; ofArrayChanges; ofObjectChanges; ofWithScheduler; pairs,asObservable; from,AsObservable; FromAsyncPattern; FromEvent; FromEventPattern; ToObservable,fromArray; fromIterator; asObservable; fromPromise,from_array; from_callback; from_future; from_iterable; from_list; from_marbles; of,of_array; of_enumerable; of_enumerator,from; items,from; toObservable
pairwise,http://reactivex.io/documentation/operators/buffer.html,Buffer,,buffer; pairwise,buffer,buffer,buffer,buffer; bufferWithCount; bufferWithTime; bufferWithTimeOrCount,buffer,Buffer,bufferWithCount,buffer; buffer_with_count; buffer_with_time; buffer_with_time_or_count; pairwise,buffer_with_count; buffer_with_time,slidingBuffer; tumblingBuffer,buffer
partition,http://reactivex.io/documentation/operators/groupby.html,GroupBy,group-by; split-with,group_by,groupBy,groupBy,groupBy,groupBy; groupByUntil,groupBy,GroupBy; GroupByUntil,groupBy; groupByUntil; partition,group_by; group_by_until; partition,,groupBy,
partition-all,http://reactivex.io/documentation/operators/window.html,Window,partition-all,window; window_with_time; window_with_time_or_count,window,window,window,window; windowWithCount; windowWithTime; windowWithTimeOrCount,window,Window,,window; window_with_count; window_with_time; window_with_time_or_count,window_with_count,sliding; tumbling,window
pausable,http://reactivex.io/documentation/operators/backpressure.html,,,,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,Flowable,controlled; pausable; pausableBuffered; stopAndWait; windowed,,,,,,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,
pausableBuffered,http://reactivex.io/documentation/operators/backpressure.html,,,,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,Flowable,controlled; pausable; pausableBuffered; stopAndWait; windowed,,,,,,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,
pluck,http://reactivex.io/documentation/operators/map.html,Map,keep; keep-indexed; map; map-indexed,map,byLine; cast; encode; map,byLine; cast; encode; map,cast; map,map; pluck; select,cast; map,Cast; Select,map; mapWithIndex; mapTo; select; pluck,map; pluck; select,map; map_with_index,map,map; mapWithIndex
product,http://reactivex.io/documentation/operators/sum.html,Sum,,sum,sumDouble; sumFloat; sumInteger; sumLong; StringObservable.join; StringObservable.stringConcat,sumDouble; sumFloat; sumInteger; sumLong; StringObservable.join; StringObservable.stringConcat,,sum,sumDouble; sumFloat; sumInteger; sumLong,Sum,sum,sum,sum,product; sum,
Publish,http://reactivex.io/documentation/operators/publish.html,Publish,,multicast; publish,publish,publish,publish,let; letBind; multicast; publish; publishLast; publishValue,publish,Multicast; Publish; PublishLast,multicast; multicastWithSelector; publish; publishLast; publishValue,let; let_bind; multicast; publish; publishValue,,multicast; publish; publishLast,multicast; publish
PublishLast,http://reactivex.io/documentation/operators/publish.html,Publish,,multicast; publish,publish,publish,publish,let; letBind; multicast; publish; publishLast; publishValue,publish,Multicast; Publish; PublishLast,multicast; multicastWithSelector; publish; publishLast; publishValue,let; let_bind; multicast; publish; publishValue,,multicast; publish; publishLast,multicast; publish
publish_synchronized,http://reactivex.io/documentation/operators/replay.html,Replay,cache,publish_synchronized; replay,replay; cache,cache; replay,cache; replay,replay; shareReplay,replay; cache,Replay,replay; shareReplay,replay,,replay; cache,replay; shareReplay
publishValue,http://reactivex.io/documentation/operators/publish.html,Publish,,multicast; publish,publish,publish,publish,let; letBind; multicast; publish; publishLast; publishValue,publish,Multicast; Publish; PublishLast,multicast; multicastWithSelector; publish; publishLast; publishValue,let; let_bind; multicast; publish; publishValue,,multicast; publish; publishLast,multicast; publish
raise_error,http://reactivex.io/documentation/operators/empty-never-throw.html,Empty/Never/Throw,empty; never; throw,empty; never; throw,empty; never; error,empty; never; error,empty; never; error,empty; never; throw,empty; never; error; asObservable,Empty; Never; Throw,empty; never; error,empty; never; throw; throw_exception,empty; never; raise_error,empty; never; error,empty; never; failWith
Range,http://reactivex.io/documentation/operators/range.html,Range,range,range,range,range,intervalRange; range,range,range,Range,range,range,range,,range
Reduce,http://reactivex.io/documentation/operators/reduce.html,Reduce,into; iterate; reduce,iterate; reduce,collect; reduce,collect; reduce,collect; collectInto; reduce; reduceWith,reduce,collect; reduce,Aggregate,reduce,aggregate; expand; reduce,reduce,foldLeft; reduce,reduce
reduceWith,http://reactivex.io/documentation/operators/reduce.html,Reduce,into; iterate; reduce,iterate; reduce,collect; reduce,collect; reduce,collect; collectInto; reduce; reduceWith,reduce,collect; reduce,Aggregate,reduce,aggregate; expand; reduce,reduce,foldLeft; reduce,reduce
reductions,http://reactivex.io/documentation/operators/scan.html,Scan,reductions,,scan,scan,scan,expand; scan,scan,Scan,scan,scan,scan,scan,scan
RefCount,http://reactivex.io/documentation/operators/refcount.html,RefCount,,publish,refCount; share,refCount; share,share,refCount; share; shareValue,refCount; share,RefCount,share; singleInstance; shareValue,ref_count,,refCount; share,refCount
Repeat,http://reactivex.io/documentation/operators/repeat.html,Repeat,cycle,repeat,doWhile; repeat; repeatWhen; whileDo,doWhile; repeat; repeatWhen; whileDo,repeat; repeatUntil; repeatWhen,doWhile; repeat; while,doWhile; repeat; repeatWhen; whileDo,Repeat,repeat; repeatWhen,do_while; repeat; while_do,repeat; repeat_infinitely,repeat; repeatWhen,repeatElement
repeat_infinitely,http://reactivex.io/documentation/operators/repeat.html,Repeat,cycle,repeat,doWhile; repeat; repeatWhen; whileDo,doWhile; repeat; repeatWhen; whileDo,repeat; repeatUntil; repeatWhen,doWhile; repeat; while,doWhile; repeat; repeatWhen; whileDo,Repeat,repeat; repeatWhen,do_while; repeat; while_do,repeat; repeat_infinitely,repeat; repeatWhen,repeatElement
repeatUntil,http://reactivex.io/documentation/operators/repeat.html,Repeat,cycle,repeat,doWhile; repeat; repeatWhen; whileDo,doWhile; repeat; repeatWhen; whileDo,repeat; repeatUntil; repeatWhen,doWhile; repeat; while,doWhile; repeat; repeatWhen; whileDo,Repeat,repeat; repeatWhen,do_while; repeat; while_do,repeat; repeat_infinitely,repeat; repeatWhen,repeatElement
repeatWhen,http://reactivex.io/documentation/operators/repeat.html,Repeat,cycle,repeat,doWhile; repeat; repeatWhen; whileDo,doWhile; repeat; repeatWhen; whileDo,repeat; repeatUntil; repeatWhen,doWhile; repeat; while,doWhile; repeat; repeatWhen; whileDo,Repeat,repeat; repeatWhen,do_while; repeat; while_do,repeat; repeat_infinitely,repeat; repeatWhen,repeatElement
Replay,http://reactivex.io/documentation/operators/replay.html,Replay,cache,publish_synchronized; replay,replay; cache,cache; replay,cache; replay,replay; shareReplay,replay; cache,Replay,replay; shareReplay,replay,,replay; cache,replay; shareReplay
rescue_error,http://reactivex.io/documentation/operators/catch.html,Catch,catch*,,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,onErrorResumeNext; onErrorReturn; onErrorReturnItem; onExceptionResumeNext,catch; onErrorResumeNext,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,Catch; OnErrorResumeNext,catch,catch_exception; on_error_resume_next,on_error_resume_next; rescue_error,onErrorFlatMap; onErrorResumeNext; onErrorReturn; onExceptionResumeNext,catchError; catchErrorJustReturn
rest,http://reactivex.io/documentation/operators/first.html,First,first; single,first,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,blockingFirst; blockingSingle; first; firstElement; single; singleElement; takeFirst,find; findIndex; first; single,first; firstOrDefault; mostRecent; single; singleOrDefault; takeFirst,First; FirstOrDefault; Latest; Next; Single; SingleOrDefault,,first; first_or_default; single; single_or_default,first; first_or_default; single; single_or_default,first; firstOrElse; head; headOption; headOrElse; latest; next; single; singleOption; singleOrElse,single
Retry,http://reactivex.io/documentation/operators/retry.html,Retry,,retry,retry; retryWhen,retry; retryWhen,retry; retryUntil; retryWhen,retry,retry; retryWhen,Retry,retry; retryWhen,retry,retry; retry_infinitely,retry; retryWhen,retry; retryWhen
retry_infinitely,http://reactivex.io/documentation/operators/retry.html,Retry,,retry,retry; retryWhen,retry; retryWhen,retry; retryUntil; retryWhen,retry,retry; retryWhen,Retry,retry; retryWhen,retry,retry; retry_infinitely,retry; retryWhen,retry; retryWhen
retryUntil,http://reactivex.io/documentation/operators/retry.html,Retry,,retry,retry; retryWhen,retry; retryWhen,retry; retryUntil; retryWhen,retry,retry; retryWhen,Retry,retry; retryWhen,retry,retry; retry_infinitely,retry; retryWhen,retry; retryWhen
retryWhen,http://reactivex.io/documentation/operators/retry.html,Retry,,retry,retry; retryWhen,retry; retryWhen,retry; retryUntil; retryWhen,retry,retry; retryWhen,Retry,retry; retryWhen,retry,retry; retry_infinitely,retry; retryWhen,retry; retryWhen
Return,http://reactivex.io/documentation/operators/just.html,Just,return,just,just,just,just,just; return,asObservable; just,Return,of,just; return_value,just,items; just; :+,just; sequenceOf
returnElement,http://reactivex.io/documentation/operators/just.html,Just,return,just,just,just,just,just; return,asObservable; just,Return,of,just; return_value,just,items; just; :+,just; sequenceOf
returnValue,http://reactivex.io/documentation/operators/just.html,Just,return,just,just,just,just,just; return,asObservable; just,Return,of,just; return_value,just,items; just; :+,just; sequenceOf
runAsync,http://reactivex.io/documentation/operators/from.html,From,seq,from,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,fromArray; fromCallable; fromFuture; fromIterable; fromPublisher,from; fromCallback; fromEvent; fromEventPattern; fromNodeCallback; fromPromise; of; ofArrayChanges; ofObjectChanges; ofWithScheduler; pairs,asObservable; from,AsObservable; FromAsyncPattern; FromEvent; FromEventPattern; ToObservable,fromArray; fromIterator; asObservable; fromPromise,from_array; from_callback; from_future; from_iterable; from_list; from_marbles; of,of_array; of_enumerable; of_enumerator,from; items,from; toObservable
safeSubscribe,http://reactivex.io/documentation/operators/subscribe.html,Subscribe,BlockingObservable.doseq; subscribe,subscribe,BlockingObservable.forEach; forEach; subscribe,BlockingObservable.forEach; forEach; subscribe,blockingForEach; blockingSubscribe; forEachWhile; safeSubscribe; subscribe,forEach; subscribe; subscribeOnCompleted; subscribeOnError; subscribeOnNext,BlockingObservable.forEach; forEach; subscribe,ForEach; Subscribe,subscribe,BlockingObservable.for_each; subscribe,subscribe,BlockingObservable.foreach; forEach; subscribe,subscribe
Sample,http://reactivex.io/documentation/operators/sample.html,Sample,,,sample; throttleFirst; throttleLast,sample; throttleFirst; throttleLast,sample; throttleFirst; throttleLast,sample; throttleFirst,sample; throttleFirst; throttleLast,Sample,,sample; throttle_first; throttle_last,,sample; throttleFirst; throttleLast,sample; sampleLatest
Scan,http://reactivex.io/documentation/operators/scan.html,Scan,reductions,,scan,scan,scan,expand; scan,scan,Scan,scan,scan,scan,scan,scan
scanWith,http://reactivex.io/documentation/operators/scan.html,Scan,reductions,,scan,scan,scan,expand; scan,scan,Scan,scan,scan,scan,scan,scan
scope,http://reactivex.io/documentation/operators/using.html,Using,,scope,using,using,using,using,using,Using,,using,using,using,using
Select,http://reactivex.io/documentation/operators/map.html,Map,keep; keep-indexed; map; map-indexed,map,byLine; cast; encode; map,byLine; cast; encode; map,cast; map,map; pluck; select,cast; map,Cast; Select,map; mapWithIndex; mapTo; select; pluck,map; pluck; select,map; map_with_index,map,map; mapWithIndex
select,http://reactivex.io/documentation/operators/filter.html,Filter,filter,filter,filter; ofType,filter; ofType,filter; ofType,filter; where,filter; ofType,OfType; Where,filter; where,filter; slice; where,select; select_with_index,collect; filter; filterNot; BlockingObservable.withFilter; withFilter,filter
selectConcat,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
selectConcatObserver,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
